epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.7706,0.65983,1.73078,1.15714,1,0.66501,0.9038,0.7386,0.56289,2.37727,1.0587,0.000647059,0.000647059,0.000647059
2,136.157,0.64885,1.22266,1.11165,0.97383,0.63542,0.87352,0.74894,0.55496,1.92761,1.00624,0.00122702,0.00122702,0.00122702
3,204.594,0.66948,1.18946,1.13877,0.94667,0.92447,0.96434,0.77253,0.6854,1.73677,1.18079,0.00171898,0.00171898,0.00171898
4,271.474,0.6227,1.03361,1.07799,0.66315,0.51271,0.59387,0.40613,0.79665,2.58145,1.23663,0.001604,0.001604,0.001604
5,356.281,0.62003,1.00127,1.09806,0.84649,0.71875,0.81267,0.59,0.82583,2.96055,1.21677,0.001472,0.001472,0.001472
6,465.757,0.54132,1.1173,1.07455,0.88688,0.88542,0.95958,0.78561,0.78162,1.36356,1.28393,0.00134,0.00134,0.00134
7,594.334,0.5086,0.95602,1.04082,0.91798,0.94792,0.97412,0.85921,0.5057,1.35619,0.9508,0.001208,0.001208,0.001208
8,724.443,0.48209,0.86059,1.0056,0.56779,0.85417,0.5561,0.48726,0.57637,1.85244,0.98749,0.001076,0.001076,0.001076
9,852.771,0.42817,0.77323,0.97654,0.9976,0.95833,0.99164,0.91895,0.3743,0.75986,0.8068,0.000944,0.000944,0.000944
10,981.666,0.41654,0.71866,0.96478,0.98927,1,0.99479,0.90615,0.39281,0.73238,0.84594,0.000812,0.000812,0.000812
11,1110.51,0.38562,0.67042,0.93893,0.83868,0.77083,0.86651,0.80317,0.44633,1.14278,0.87126,0.00068,0.00068,0.00068
12,1239.49,0.38397,0.62495,0.95435,0.98901,1,0.99448,0.95732,0.32755,0.67026,0.78365,0.000548,0.000548,0.000548
13,1376.86,0.35084,0.56525,0.90511,0.99945,1,0.995,0.93834,0.3342,0.59912,0.78823,0.000416,0.000416,0.000416
14,1513.53,0.32694,0.53549,0.91844,0.99944,1,0.995,0.96209,0.28421,0.55224,0.76128,0.000284,0.000284,0.000284
15,1643.66,0.31551,0.51476,0.90113,0.9994,1,0.995,0.96366,0.27741,0.5214,0.75726,0.000152,0.000152,0.000152
